date,version,prev_date,prev_version,change,name,diff
2025-06-02,1.0.8,2025-05-30,1.0.7,modified,TodoWrite,versions/2025-06-02_1.0.8/diff-from-2025-05-30_1.0.7.md
2025-06-06,1.0.17,2025-06-04,1.0.11,modified,Task,versions/2025-06-06_1.0.17/diff-from-2025-06-04_1.0.11.md
2025-06-09,1.0.18,2025-06-06,1.0.17,modified,Bash,versions/2025-06-09_1.0.18/diff-from-2025-06-06_1.0.17.md
2025-06-11,1.0.21,2025-06-09,1.0.18,added,exit_plan_mode,versions/2025-06-11_1.0.21/diff-from-2025-06-09_1.0.18.md
2025-06-11,1.0.21,2025-06-09,1.0.18,modified,Bash,versions/2025-06-11_1.0.21/diff-from-2025-06-09_1.0.18.md
2025-06-11,1.0.21,2025-06-09,1.0.18,modified,Task,versions/2025-06-11_1.0.21/diff-from-2025-06-09_1.0.18.md
2025-06-11,1.0.21,2025-06-09,1.0.18,modified,TodoWrite,versions/2025-06-11_1.0.21/diff-from-2025-06-09_1.0.18.md
2025-06-12,1.0.22,2025-06-11,1.0.21,modified,Bash,versions/2025-06-12_1.0.22/diff-from-2025-06-11_1.0.21.md
2025-06-12,1.0.22,2025-06-11,1.0.21,modified,NotebookEdit,versions/2025-06-12_1.0.22/diff-from-2025-06-11_1.0.21.md
2025-06-12,1.0.22,2025-06-11,1.0.21,modified,NotebookRead,versions/2025-06-12_1.0.22/diff-from-2025-06-11_1.0.21.md
2025-06-13,1.0.23,2025-06-12,1.0.22,modified,Bash,versions/2025-06-13_1.0.23/diff-from-2025-06-12_1.0.22.md
2025-06-13,1.0.23,2025-06-12,1.0.22,modified,NotebookEdit,versions/2025-06-13_1.0.23/diff-from-2025-06-12_1.0.22.md
2025-06-16,1.0.25,2025-06-14,1.0.24,modified,Task,versions/2025-06-16_1.0.25/diff-from-2025-06-14_1.0.24.md
2025-06-23,1.0.32,2025-06-20,1.0.31,modified,exit_plan_mode,versions/2025-06-23_1.0.32/diff-from-2025-06-20_1.0.31.md
2025-06-25,1.0.35,2025-06-24,1.0.34,modified,Bash,versions/2025-06-25_1.0.35/diff-from-2025-06-24_1.0.34.md
2025-06-25,1.0.35,2025-06-24,1.0.34,modified,TodoRead,versions/2025-06-25_1.0.35/diff-from-2025-06-24_1.0.34.md
2025-06-27,1.0.36,2025-06-25,1.0.35,modified,WebSearch,versions/2025-06-27_1.0.36/diff-from-2025-06-25_1.0.35.md
2025-07-01,1.0.40,2025-07-01,1.0.39,modified,WebSearch,versions/2025-07-01_1.0.40/diff-from-2025-07-01_1.0.39.md
2025-07-03,1.0.42,2025-07-02,1.0.41,modified,WebFetch,versions/2025-07-03_1.0.42/diff-from-2025-07-02_1.0.41.md
2025-07-07,1.0.44,2025-07-03,1.0.43,removed,TodoRead,versions/2025-07-07_1.0.44/diff-from-2025-07-03_1.0.43.md
2025-07-07,1.0.44,2025-07-03,1.0.43,modified,Task,versions/2025-07-07_1.0.44/diff-from-2025-07-03_1.0.43.md
2025-07-08,1.0.45,2025-07-07,1.0.44,modified,Grep,versions/2025-07-08_1.0.45/diff-from-2025-07-07_1.0.44.md
